link,id,nome,peso,altura,tipo1,tipo2,link ev 1,evolucao1,id_evolucao1,link ev 2,evolucao2,id_evolucao2,link hab 1,habilidade1,hab_desc1,link hab 2,habilidade2,hab_desc2
/pokedex/bulbasaur,0001,Bulbasaur,6.9 kg (15.2 lbs),0.7 m (2′04″),Grass,Poison,/pokedex/ivysaur,Ivysaur,#0002,/pokedex/venusaur,Venusaur,#0003,/ability/overgrow,Overgrow,Powers up Grass-type moves in a pinch.,,,
/pokedex/squirtle,0009,Blastoise,85.5 kg (188.5 lbs),1.6 m (5′03″),Water,,/pokedex/wartortle,Wartortle,#0008,/pokedex/blastoise,Blastoise,#0009,/ability/torrent,Torrent,Powers up Water-type moves in a pinch.,,,
/pokedex/charmander,0004,Charmander,8.5 kg (18.7 lbs),0.6 m (2′00″),Fire,,/pokedex/charmeleon,Charmeleon,#0005,/pokedex/charizard,Charizard,#0006,/ability/blaze,Blaze,Powers up Fire-type moves in a pinch.,,,
/pokedex/bulbasaur,0003,Venusaur,100.0 kg (220.5 lbs),2.0 m (6′07″),Grass,Poison,/pokedex/ivysaur,Ivysaur,#0002,/pokedex/venusaur,Venusaur,#0003,/ability/overgrow,Overgrow,Powers up Grass-type moves in a pinch.,,,
/pokedex/bulbasaur,0002,Ivysaur,13.0 kg (28.7 lbs),1.0 m (3′03″),Grass,Poison,/pokedex/ivysaur,Ivysaur,#0002,/pokedex/venusaur,Venusaur,#0003,/ability/overgrow,Overgrow,Powers up Grass-type moves in a pinch.,,,
/pokedex/pidgey,0017,Pidgeotto,30.0 kg (66.1 lbs),1.1 m (3′07″),Normal,Flying,/pokedex/pidgeotto,Pidgeotto,#0017,/pokedex/pidgeot,Pidgeot,#0018,/ability/keen-eye,Keen Eye,Prevents other Pokémon from lowering accuracy.,/ability/tangled-feet,Tangled Feet,Raises evasion if the Pokémon is confused.
/pokedex/squirtle,0008,Wartortle,22.5 kg (49.6 lbs),1.0 m (3′03″),Water,,/pokedex/wartortle,Wartortle,#0008,/pokedex/blastoise,Blastoise,#0009,/ability/torrent,Torrent,Powers up Water-type moves in a pinch.,,,
/pokedex/squirtle,0007,Squirtle,9.0 kg (19.8 lbs),0.5 m (1′08″),Water,,/pokedex/wartortle,Wartortle,#0008,/pokedex/blastoise,Blastoise,#0009,/ability/torrent,Torrent,Powers up Water-type moves in a pinch.,,,
/pokedex/charmander,0006,Charizard,90.5 kg (199.5 lbs),1.7 m (5′07″),Fire,Flying,/pokedex/charmeleon,Charmeleon,#0005,/pokedex/charizard,Charizard,#0006,/ability/blaze,Blaze,Powers up Fire-type moves in a pinch.,,,
/pokedex/charmander,0005,Charmeleon,19.0 kg (41.9 lbs),1.1 m (3′07″),Fire,,/pokedex/charmeleon,Charmeleon,#0005,/pokedex/charizard,Charizard,#0006,/ability/blaze,Blaze,Powers up Fire-type moves in a pinch.,,,
/pokedex/pidgey,0016,Pidgey,1.8 kg (4.0 lbs),0.3 m (1′00″),Normal,Flying,/pokedex/pidgeotto,Pidgeotto,#0017,/pokedex/pidgeot,Pidgeot,#0018,/ability/keen-eye,Keen Eye,Prevents other Pokémon from lowering accuracy.,/ability/tangled-feet,Tangled Feet,Raises evasion if the Pokémon is confused.
/pokedex/weedle,0015,Beedrill,29.5 kg (65.0 lbs),1.0 m (3′03″),Bug,Poison,/pokedex/kakuna,Kakuna,#0014,/pokedex/beedrill,Beedrill,#0015,/ability/swarm,Swarm,Powers up Bug-type moves in a pinch.,,,
/pokedex/weedle,0014,Kakuna,10.0 kg (22.0 lbs),0.6 m (2′00″),Bug,Poison,/pokedex/kakuna,Kakuna,#0014,/pokedex/beedrill,Beedrill,#0015,/ability/shed-skin,Shed Skin,The Pokémon may heal its own status problems.,,,
/pokedex/weedle,0013,Weedle,3.2 kg (7.1 lbs),0.3 m (1′00″),Bug,Poison,/pokedex/kakuna,Kakuna,#0014,/pokedex/beedrill,Beedrill,#0015,/ability/shield-dust,Shield Dust,Blocks the added effects of attacks taken.,,,
/pokedex/caterpie,0012,Butterfree,32.0 kg (70.5 lbs),1.1 m (3′07″),Bug,Flying,/pokedex/metapod,Metapod,#0011,/pokedex/butterfree,Butterfree,#0012,/ability/compound-eyes,Compound Eyes,The Pokémon's accuracy is boosted.,,,
/pokedex/caterpie,0011,Metapod,9.9 kg (21.8 lbs),0.7 m (2′04″),Bug,25,/pokedex/metapod,Metapod,#0011,/pokedex/butterfree,Butterfree,#0012,/ability/shed-skin,Shed Skin,The Pokémon may heal its own status problems.,,,
/pokedex/caterpie,0010,Caterpie,2.9 kg (6.4 lbs),0.3 m (1′00″),Bug,24,/pokedex/metapod,Metapod,#0011,/pokedex/butterfree,Butterfree,#0012,/ability/shield-dust,Shield Dust,Blocks the added effects of attacks taken.,,,
/pokedex/ekans,0023,Ekans,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,,/pokedex/arbok,Arbok,#0024,,,,/ability/intimidate,Intimidate,Lowers the foe's Attack stat.,/ability/shed-skin,Shed Skin,The Pokémon may heal its own status problems.
/pokedex/nidoran-m,0033,Nidorino,19.5 kg (43.0 lbs),0.9 m (2′11″),Poison,Safari Zone,/pokedex/nidorino,Nidorino,#0033,/pokedex/nidoking,Nidoking,#0034,/ability/poison-point,Poison Point,Contact with the Pokémon may poison the attacker.,/ability/rivalry,Rivalry,Deals more damage to a Pokémon of same gender.
/pokedex/nidoran-m,0032,Nidoran♂ (male),9.0 kg (19.8 lbs),0.5 m (1′08″),Poison,9,/pokedex/nidorino,Nidorino,#0033,/pokedex/nidoking,Nidoking,#0034,/ability/poison-point,Poison Point,Contact with the Pokémon may poison the attacker.,/ability/rivalry,Rivalry,Deals more damage to a Pokémon of same gender.
/pokedex/nidoran-f,0031,Nidoqueen,60.0 kg (132.3 lbs),1.3 m (4′03″),Poison,Ground,/pokedex/nidorina,Nidorina,#0030,/pokedex/nidoqueen,Nidoqueen,#0031,/ability/poison-point,Poison Point,Contact with the Pokémon may poison the attacker.,/ability/rivalry,Rivalry,Deals more damage to a Pokémon of same gender.
/pokedex/nidoran-f,0030,Nidorina,20.0 kg (44.1 lbs),0.8 m (2′07″),Poison,Safari Zone,/pokedex/nidorina,Nidorina,#0030,/pokedex/nidoqueen,Nidoqueen,#0031,/ability/poison-point,Poison Point,Contact with the Pokémon may poison the attacker.,/ability/rivalry,Rivalry,Deals more damage to a Pokémon of same gender.
